,LN,Wilcoxon,t-test,replicate
fpr,0.0625,0.0515625,0.025,91
fnr,0.31,0.56,0.47,91
f1,0.813953488372093,0.6838709677419355,0.7499999999999999,92
accuracy,0.9841662543295399,0.9757545769421079,0.9802078179119248,92
recall,0.7,0.53,0.6,92
precision,0.9722222222222222,0.9636363636363636,1.0,92
tpr,0.7,0.53,0.6,92
tnr,0.9989588755856325,0.9989588755856325,1.0,92
fpr,0.001041124414367517,0.001041124414367517,0.0,92
fnr,0.3,0.47,0.4,92
f1,0.8043478260869565,0.6086956521739131,0.7439024390243903,93
accuracy,0.9821782178217822,0.9688118811881188,0.9792079207920792,93
recall,0.74,0.49,0.61,93
precision,0.8809523809523809,0.8032786885245902,0.953125,93
tpr,0.74,0.49,0.61,93
tnr,0.9947916666666666,0.99375,0.9984375,93
fpr,0.005208333333333333,0.00625,0.0015625,93
fnr,0.26,0.51,0.39,93
f1,0.8208092485549133,0.6666666666666666,0.7530864197530864,94
accuracy,0.9846610588817417,0.975259772389906,0.9802078179119248,94
recall,0.71,0.5,0.61,94
precision,0.9726027397260274,1.0,0.9838709677419355,94
tpr,0.71,0.5,0.61,94
tnr,0.9989588755856325,1.0,0.9994794377928162,94
fpr,0.001041124414367517,0.0,0.0005205622071837585,94
fnr,0.29,0.5,0.39,94
f1,0.7425149700598802,0.662251655629139,0.721518987341772,95
accuracy,0.9787234042553191,0.974764967837704,0.9782285997031173,95
recall,0.62,0.5,0.57,95
precision,0.9253731343283582,0.9803921568627451,0.9827586206896551,95
tpr,0.62,0.5,0.57,95
tnr,0.9973971889640812,0.9994794377928162,0.9994794377928162,95
fpr,0.0026028110359187923,0.0005205622071837585,0.0005205622071837585,95
fnr,0.38,0.5,0.43,95
f1,0.7126436781609196,0.5793103448275863,0.6533333333333333,96
accuracy,0.975259772389906,0.9698169223156853,0.9742701632855022,96
recall,0.62,0.42,0.49,96
precision,0.8378378378378378,0.9333333333333333,0.98,96
tpr,0.62,0.42,0.49,96
tnr,0.9937532535137948,0.9984383133784487,0.9994794377928162,96
fpr,0.006246746486205101,0.0015616866215512754,0.0005205622071837585,96
fnr,0.38,0.58,0.51,96
f1,0.7529411764705883,0.64,0.7195121951219512,97
accuracy,0.9792182088075211,0.9732805541810985,0.9772389905987136,97
recall,0.64,0.48,0.59,97
precision,0.9142857142857143,0.96,0.921875,97
tpr,0.64,0.48,0.59,97
tnr,0.9968766267568975,0.9989588755856325,0.9973971889640812,97
fpr,0.0031233732431025507,0.001041124414367517,0.0026028110359187923,97
fnr,0.36,0.52,0.41,97
f1,0.7882352941176471,0.6122448979591837,0.6878980891719746,98
accuracy,0.9821870361207323,0.9717961405244928,0.9757545769421079,98
recall,0.67,0.45,0.54,98
precision,0.9571428571428572,0.9574468085106383,0.9473684210526315,98
tpr,0.67,0.45,0.54,98
tnr,0.9984383133784487,0.9989588755856325,0.9984383133784487,98
fpr,0.0015616866215512754,0.001041124414367517,0.0015616866215512754,98
fnr,0.33,0.55,0.46,98
f1,0.7840909090909091,0.6394557823129251,0.6956521739130435,99
accuracy,0.9811881188118812,0.9737623762376237,0.9757425742574257,99
recall,0.69,0.47,0.56,99
precision,0.9078947368421053,1.0,0.9180327868852459,99
tpr,0.69,0.47,0.56,99
tnr,0.9963541666666667,1.0,0.9973958333333334,99
fpr,0.0036458333333333334,0.0,0.0026041666666666665,99
fnr,0.31,0.53,0.44,99
