,LN,Wilcoxon,t-test,replicate
f1,0.5901639344262295,0.4977777777777779,0.7058823529411765,45
accuracy,0.9505195447798119,0.9440870856011875,0.9727857496288966,45
recall,0.72,0.56,0.66,45
precision,0.5,0.448,0.7586206896551724,45
tpr,0.72,0.56,0.66,45
tnr,0.9625195210827694,0.9640812077043207,0.9890681936491411,45
fpr,0.03748047891723061,0.03591879229567933,0.010931806350858927,45
fnr,0.28,0.44,0.34,45
f1,0.8342857142857143,0.6533333333333333,0.732919254658385,46
accuracy,0.9856435643564356,0.9742574257425742,0.9787128712871287,46
recall,0.73,0.49,0.59,46
precision,0.9733333333333334,0.98,0.9672131147540983,46
tpr,0.73,0.49,0.59,46
tnr,0.9989583333333333,0.9994791666666667,0.9989583333333333,46
fpr,0.0010416666666666667,0.0005208333333333333,0.0010416666666666667,46
fnr,0.27,0.51,0.41,46
f1,0.7953216374269005,0.6486486486486487,0.6835443037974683,47
accuracy,0.9826732673267327,0.9742574257425742,0.9752475247524752,47
recall,0.6868686868686869,0.48484848484848486,0.5454545454545454,47
precision,0.9444444444444444,0.9795918367346939,0.9152542372881356,47
tpr,0.6868686868686869,0.48484848484848486,0.5454545454545454,47
tnr,0.9979177511712649,0.9994794377928162,0.9973971889640812,47
fpr,0.002082248828735034,0.0005205622071837585,0.0026028110359187923,47
fnr,0.31313131313131315,0.5151515151515151,0.45454545454545453,47
f1,0.8228571428571428,0.6710526315789475,0.7484662576687117,48
accuracy,0.9846686449060337,0.9752720079129574,0.9797230464886251,48
recall,0.72,0.51,0.61,48
precision,0.96,0.9807692307692307,0.9682539682539683,48
tpr,0.72,0.51,0.61,48
tnr,0.9984391259105099,0.9994797086368367,0.9989594172736732,48
fpr,0.0015608740894901144,0.0005202913631633715,0.001040582726326743,48
fnr,0.28,0.49,0.39,48
f1,0.7745664739884393,0.7133757961783439,0.7439024390243903,49
accuracy,0.9807026224641266,0.9777337951509154,0.9792182088075211,49
recall,0.67,0.56,0.61,49
precision,0.9178082191780822,0.9824561403508771,0.953125,49
tpr,0.67,0.56,0.61,49
tnr,0.9968766267568975,0.9994794377928162,0.9984383133784487,49
fpr,0.0031233732431025507,0.0005205622071837585,0.0015616866215512754,49
fnr,0.33,0.44,0.39,49
f1,0.6008230452674898,0.5118483412322276,0.58,50
accuracy,0.9520039584364176,0.9490351311232064,0.9584364176150421,50
recall,0.73,0.54,0.58,50
precision,0.5104895104895105,0.4864864864864865,0.58,50
tpr,0.73,0.54,0.58,50
tnr,0.9635606454971369,0.9703279541905258,0.9781363872982821,50
